Original Duplicate Row ID,Count
Feb2024,208
Jan2024,108
Mar2024,104
Apr2025,104
May2024,104
Jun2024,104
Jul2024,104
Aug2024,104
Sep2024,104
Oct2024,104
Nov2024,104
Dec2024,104
Dec2034,104
Jan2020,4
Jan2021,4
Jan2022,4
Jan2023,4
Jan2025,4
Jan2026,4
Jan2027,4
Jan2028,4
Jan2029,4
Jan20210,4
Jan20211,4
Jan20212,4
Jan20213,4
Jan20214,4
Jan20215,4
Jan20216,4
Jan20217,4
Jan20218,4
Jan20219,4
Jan20220,4
Jan20221,4
Jan20222,4
Jan20223,4
Jan20224,4
Jan20225,4
Jan20226,4
Jan20227,4
Jan20228,4
Jan20229,4
Jan20230,4
Jan20231,4
Jan20232,4
Jan20233,4
Jan20234,4
Jan20235,4
Jan20236,4
Jan20237,4
Jan20238,4
Jan20239,4
Jan20240,4
Jan20241,4
Jan20242,4
Jan20243,4
Jan20244,4
Jan20245,4
Jan20246,4
Jan20247,4
Jan20248,4
Jan20249,4
Jan20250,4
Jan20251,4
Jan20252,4
Jan20253,4
Jan20254,4
Jan20255,4
Jan20256,4
Jan20257,4
Jan20258,4
Jan20259,4
Jan20260,4
Jan20261,4
Jan20262,4
Jan20263,4
Jan20264,4
Jan20265,4
Jan20266,4
Jan20267,4
Jan20268,4
Jan20269,4
Jan20270,4
Jan20271,4
Jan20272,4
Jan20273,4
Jan20274,4
Jan20275,4
Jan20276,4
Jan20277,4
Jan20278,4
Jan20279,4
Jan20280,4
Jan20281,4
Jan20282,4
Jan20283,4
Jan20284,4
Jan20285,4
Jan20286,4
Jan20287,4
Jan20288,4
Jan20289,4
Jan20290,4
Jan20291,4
Jan20292,4
Jan20293,4
Jan20294,4
Jan20295,4
Jan20296,4
Jan20297,4
Jan20298,4
Jan20299,4
Jan202100,4
